Name
abs
acos
ascii
asin
atan
atn2
avg
binary_checksum
cast
ceiling
charindex
checksum
checksum_agg
coalesce
col_length
col_name
collationproperty
columnproperty
columns_updated
concat
convert
cos
cot
count
count_big
current_time
current_timestamp
current_user
cursor_status
databaseproperty
databasepropertyex
datalength
dateadd
datediff
datefromparts
datename
datepart
datetime2fromparts
datetimefromparts
datetimeoffsetfromparts
day
db_id
db_name
degrees
difference
eomonth
exp
file_id
file_name
filegroup_id
filegroup_name
filegroupproperty
fileproperty
floor
format
formatmessage
fulltextcatalogproperty
fulltextserviceproperty
getansinull
getdate
getutcdate
grouping
grouping_id
has_dbaccess
host_id
host_name
ident_current
ident_incr
ident_seed
index_col
indexkey_property
indexproperty
is_member
is_srvrolemember
isdate
isnull
isnumeric
lag
lead
left
len
log
log10
lower
ltrim
max
min
month
newid
nullif
object_id
object_name
objectproperty
parse
parsename
patindex
permissions
pi
power
quotename
radians
rand
replace
replicate
reverse
right
round
rowcount_big
rtrim
scope_identity
serverproperty
session_user
sessionproperty
sign
sin
smalldatetimefromparts
soundex
space
sql_variant_property
sqrt
square
stats_date
stdev
stdevp
str
stuff
substring
sum
suser_sid
suser_sname
switchoffset
sysdatetime
sysdatetimeoffset
system_user
sysutcdatetime
tan
timefromparts
todatetimeoffset
trim
try_cast
try_convert
try_parse
typeproperty
unicode
upper
user_id
user_name
var
varp
year
