Name;Longitude;Latitude
Guadalcázar;-4.94463;37.75755
Guijo (El);-4.782716;38.49629
Hinojosa del Duque;-5.148333;38.50099
Hornachuelos;-5.242984;37.83084
Iznájar;-4.308423;37.25726
Lucena;-4.485598;37.40873
Luque;-4.276523;37.55932
Montalbán de Córdoba;-4.749699;37.58292
Montemayor;-4.698889;37.64862
Montilla;-4.638313;37.58963
Montoro;-4.381874;38.02617
Monturque;-4.581713;37.47332
Moriles;-4.608767;37.43526
Nueva Carteya;-4.467291;37.58566
Obejo;-4.800506;38.13433
Palenciana;-4.583651;37.2492
Palma del Río;-5.283767;37.70163
Pedro Abad;-4.457226;37.96708
Pedroche;-4.763438;38.42873
Peñarroya-Pueblonuevo;-5.272851;38.30304
Posadas;-5.107038;37.80041
Pozoblanco;-4.848376;38.37742
Priego de Córdoba;-4.194839;37.4389
Puente Genil;-4.770465;37.39051
Rambla (La);-4.741319;37.60816
Rute;-4.371301;37.32587
San Sebastián de los Ballesteros;-4.824157;37.65493
Santa Eufemia;-4.902765;38.59544
Santaella;-4.845094;37.56627
Torrecampo;-4.679456;38.4751
Valenzuela;-4.219841;37.77508
Valsequillo;-5.35168;38.40498
Victoria (La);-4.784959;37.88327
Villa del Río;-4.290878;37.98227
Villafranca de Córdoba;-4.545728;37.96193
Villaharta;-4.903052;38.13951
Villanueva de Córdoba;-4.628341;38.32279
Villanueva del Duque;-5.000132;38.39297
Villanueva del Rey;-5.151443;38.19965
Villaralto;-4.984371;38.45571
Villaviciosa de Córdoba;-5.014214;38.07598
Viso (El);-4.955392;38.4827
Zuheros;-4.316415;37.54314
Agrón;-3.829724;37.03058
Alamedilla;-3.244309;37.58174
Albolote;-3.657415;37.23085
Albondón;-3.210813;36.82729
Albuñán;-3.133893;37.22719
Albuñol;-3.203485;36.79125
Albuñuelas;-3.631472;36.9282
Aldeire;-3.072488;37.16264
Alfacar;-3.570654;37.23657
Algarinejo;-4.158846;37.32492
Alhama de Granada;-3.988389;37.00252
Alhendín;-3.645584;37.1076
Alicún de Ortega;-3.137986;37.60968
Almegíjar;-3.299801;36.90245
Almuñécar;-3.690736;36.73454
Alpujarra de la Sierra;-3.157129;36.9815
Alquife;-3.116288;37.17983
Arenas del Rey;-3.894323;36.95771
Armilla;-3.617981;37.1401
Atarfe;-3.687416;37.2229
Baza;-2.774473;37.49065
Beas de Granada;-3.481737;37.21916
Beas de Guadix;-3.205976;37.2794
Benalúa;-3.16904;37.3503
Benalúa de las Villas;-3.683473;37.42758
Benamaurel;-2.699214;37.60913
Bérchules;-3.190379;36.97672
Bubión;-3.356741;36.94883
Busquístar;-3.294846;36.93771
Cacín;-3.91689;37.05995
Cádiar;-3.180546;36.94673
Cájar;-3.570618;37.13422
Calahorra (La);-3.064513;37.18137
Calicasas;-3.6182;37.27329
Campotéjar;-3.616497;37.48131
Cáñar;-3.428235;36.92661
Caniles;-2.722401;37.43626
Capileira;-3.358654;36.96122
Carataunas;-3.408202;36.92287
Cástaras;-3.253733;36.93169
Castilléjar;-2.642967;37.7147
Castril;-2.779088;37.79573
Cenes de la Vega;-3.537524;37.15931
Chauchina;-3.77254;37.20142
Chimeneas;-3.823198;37.13137
Churriana de la Vega;-3.64595;37.14777
Cijuela;-3.810801;37.19989
Cogollos de Guadix;-3.161336;37.22443
Cogollos de la Vega;-3.572908;37.27486
Colomera;-3.71382;37.37206
Cortes de Baza;-2.769917;37.65493
Cortes y Graena;-3.218777;37.30363
Cuevas del Campo;-2.931033;37.60847
Cúllar;-2.576282;37.58368
Cúllar Vega;-3.670436;37.15327
Darro;-3.292531;37.35002
Dehesas de Guadix;-3.102278;37.58868
Deifontes;-3.594484;37.32524
Diezma;-3.331664;37.32085
Dílar;-3.601624;37.07499
Dólar;-2.989589;37.18004
Dúdar;-3.484442;37.18567
Dúrcal;-3.56616;36.98793
Escúzar;-3.761499;37.06251
Ferreira;-3.036083;37.17229
Fonelas;-3.173344;37.41344
Freila;-2.906795;37.52869
Fuente Vaqueros;-3.783053;37.21957
Gabias (Las);-3.698333;37.135
Galera;-2.551193;37.74289
Gobernador;-3.320455;37.47737
Gójar;-3.606203;37.10443
Gor;-2.969444;37.36952
Gorafe;-3.044275;37.47902
Granada;-3.597929;37.17649
Guadahortuna;-3.400713;37.55655
Guadix;-3.134583;37.3004
Guajares (Los);-3.61165;36.84568
Gualchos;-3.389869;36.74357
Güejar Sierra;-3.438619;37.15992
Güevéjar;-3.597678;37.25698
Huélago;-3.260146;37.4198
Huéneja;-2.948596;37.17693
Huéscar;-2.539663;37.80949
Huétor de Santillán;-3.517399;37.21823
Huétor Tájar;-4.047139;37.19463
Huétor Vega;-3.575904;37.15238
Illora;-3.879782;37.28843
Itrabo;-3.638711;36.79948
Iznalloz;-3.527549;37.3927
Jayena;-3.822807;36.94883
Jerez del Marquesado;-3.159872;37.18385
Jete;-3.668151;36.79732
Jun;-3.59443;37.22064
Juviles;-3.225788;36.94825
Láchar;-3.834064;37.19508
Lanjarón;-3.480488;36.91806
Lanteira;-3.138551;37.1689
Lecrín;-3.550382;36.9477
Lentegí;-3.674449;36.8343
Lobras;-3.212306;36.92786
Loja;-4.151471;37.16884
Lugros;-3.240909;37.23069
Lújar;-3.401651;36.78755
Malahá (La);-3.722502;37.10146
Maracena;-3.636805;37.20568
Marchal;-3.202323;37.2962
Moclín;-3.786422;37.34158
Molvízar;-3.607518;36.78689
Monachil;-3.539469;37.13209
Montefrío;-4.011364;37.32097
Montejícar;-3.5047;37.57196
Montillana;-3.672423;37.50127
Moraleda de Zafayona;-3.965147;37.16977
Morelábor;-3.310278;37.43111
Motril;-3.516718;36.74467
Murtas;-3.108971;36.88737
Nevada;-3.016667;37
Nigüelas;-3.539319;36.97741
Nívar;-3.577918;37.25794
Ogíjares;-3.607937;37.11991
Orce;-2.479451;37.72141
Órgiva;-3.42399;36.90224
Otívar;-3.681497;36.81491
Otura;-3.635073;37.09431
Padul;-3.626719;37.02432
Pampaneira;-3.361339;36.94004
Pedro Martínez;-3.230659;37.50168
Peligros;-3.629415;37.23122
Peza (La);-3.284761;37.2756
Píñar;-3.439418;37.44337
Pinar (El);-3.439418;37.44337
Pinos Genil;-3.502635;37.16339
Pinos Puente;-3.750995;37.25146
Polícar;-3.232102;37.25764
Polopos;-3.297135;36.79553
Pórtugos;-3.310386;36.94241
Puebla de Don Fadrique;-2.43508;37.9579
Pulianas;-3.608163;37.22264
Purullena;-3.190274;37.31759
Quéntar;-3.468192;37.19201
Rubite;-3.348044;36.80884
Salar;-4.067732;37.14882
Salobreña;-3.587108;36.74626
Santa Cruz del Comercio;-3.976717;37.06024
Santa Fe;-3.719076;37.18936
Soportújar;-3.405133;36.92839
Sorvilán;-3.267524;36.79442
Taha (La);-3.316667;36.93333
Torre-Cardela;-3.356015;37.50457
Torvizcón;-3.298552;36.87788
Trevélez;-3.266871;37.00245
Turón;-3.057771;36.86357
Ugíjar;-3.054754;36.96075
Valle (El);-3.008889;37.28611
Valle del Zalabí;-3.008889;37.28611
Válor;-3.083123;36.99589
Vegas del Genil;-3.7;37.16667
Vélez de Benaudalla;-3.516209;36.83195
Ventas de Huelma;-3.822133;37.06853
Villamena;-3.588935;36.99035
Villanueva de las Torres;-3.090193;37.55663
Villanueva Mesía;-4.011248;37.2142
Víznar;-3.553835;37.23108
Zafarraya;-4.144421;36.97551
Zagra;-4.168132;37.25303
Zubia (La);-3.584668;37.12061
Zújar;-2.842817;37.54015
Alájar;-6.666078;37.87439
Aljaraque;-7.021585;37.27111
Almendro (El);-7.270019;37.50693
Almonaster la Real;-6.787901;37.87181
Almonte;-6.51724;37.26254
Alosno;-7.115428;37.54936
Aracena;-6.561207;37.89417
Aroche;-6.954265;37.94426
Arroyomolinos de León;-6.421104;38.02604
Ayamonte;-7.409819;37.21466
Beas;-6.792988;37.42592
Berrocal;-6.883333;38
Bollullos Par del Condado;-6.535758;37.33615
Bonares;-6.680697;37.3219
Cabezas Rubias;-7.087451;37.7265
Cala;-6.31649;37.97217
Calañas;-6.878683;37.65482
Campillo (El);-6.630814;37.69332
Campofrío;-6.573099;37.76776
Cañaveral de León;-6.527808;38.01454
Cartaya;-7.154979;37.28314
Castaño del Robledo;-6.703943;37.8951
Cerro de Andévalo (El);-6.938734;37.73519
Chucena;-6.393946;37.36157
Corteconcepción;-6.505878;37.89585
Cortegana;-6.820616;37.90937
Cortelazor;-6.624768;37.93554
Cumbres de Enmedio;-6.692877;38.07224
Cumbres de San Bartolomé;-6.743336;38.07691
Cumbres Mayores;-6.647074;38.0637
Encinasola;-6.872141;38.13522
Escacena del Campo;-6.389561;37.41033
Fuenteheridos;-6.660661;37.90327
Galaroza;-6.709221;37.92757
Gibraleón;-6.970141;37.37495
Granada de Río-Tinto (La);-6.91823;37.23156
Granado (El);-6.926992;37.26469
Higuera de la Sierra;-6.447579;37.83819
Hinojales;-6.589147;38.00843
Hinojos;-6.376253;37.29273
Huelva;-6.949555;37.2571
Isla Cristina;-7.325246;37.19943
Jabugo;-6.729078;37.91671
Lepe;-7.203348;37.25432
Linares de la Sierra;-6.621002;37.88009
Lucena del Puerto;-6.730086;37.30394
Manzanilla;-6.429422;37.38773
Marines (Los);-6.62332;37.90303
Minas de Riotinto;-6.591848;37.69391
Moguer;-6.836591;37.27469
Nava (La);-6.745746;37.96342
Nerva;-6.550632;37.69511
Niebla;-6.6792;37.3601
Palma del Condado (La);-6.5534;37.38784
Palos de la Frontera;-6.893426;37.2282
Paterna del Campo;-6.401431;37.42096
Paymogo;-7.345994;37.74063
Puebla de Guzmán;-7.245831;37.61144
Puerto Moral;-6.47877;37.89208
Punta Umbría;-6.967148;37.18248
Rociana del Condado;-6.598672;37.30781
Rosal de la Frontera;-7.220527;37.9678
San Bartolomé de la Torre;-7.106683;37.44596
San Juan del Puerto;-6.840784;37.31416
San Silvestre de Guzmán;-7.350305;37.3884
Sanlúcar de Guadiana;-7.467861;37.47318
Santa Ana la Real;-6.724445;37.86396
Santa Bárbara de Casa;-7.188633;37.79655
Santa Olalla del Cala;-6.229617;37.90651
Trigueros;-6.833752;37.38319
Valdelarco;-6.683222;37.95044
Valverde del Camino;-6.753376;37.57339
Villablanca;-7.341905;37.30373
Villalba del Alcor;-6.476595;37.39729
Villanueva de las Cruces;-7.024521;37.62762
Villanueva de los Castillejos;-7.272443;37.50046
Villarrasa;-6.606914;37.38945
Zalamea la Real;-6.660578;37.67891
Zufre;-6.338613;37.83384
Albanchez de Mágina;-3.468285;37.79165
Alcalá la Real;-3.925078;37.46358
Alcaudete;-4.086735;37.59106
Aldeaquemada;-3.371774;38.41182
Andújar;-4.054391;38.03675
Arjona;-4.054891;37.93648
Arjonilla;-4.107027;37.97355
Arquillos;-3.430886;38.18201
Arroyo del Ojanco;-2.894979;38.32092
Baeza;-3.469237;37.99343
Bailén;-3.774859;38.09588
Baños de la Encina;-3.774258;38.17133
Beas de Segura;-2.889883;38.25238
Bedmar y Garcíez;-3.411761;37.82271
Begíjar;-3.53483;37.98452
Bélmez de la Moraleda;-3.38222;37.7239
Benatae;-2.650866;38.35257
Cabra del Santo Cristo;-3.286108;37.70535
Cambil;-3.565627;37.67691
Campillo de Arenas;-3.635789;37.55593
Canena;-3.482172;38.04868
Carboneros;-3.631522;38.22952
Cárcheles;-3.635799;37.6533
Carolina (La);-3.615412;38.27468
Castellar;-3.131925;38.25621
Castillo de Locubín;-3.943678;37.52826
Cazalilla;-3.882231;37.9846
Cazorla;-3.002167;37.91055
Chiclana de Segura;-3.042188;38.31147
Chilluévar;-3.031099;38.00106
Escañuela;-4.033281;37.87872
Espelúy;-3.861802;38.03308
Frailes;-3.838214;37.48515
Fuensanta de Martos;-3.906;37.64784
Fuerte del Rey;-3.884589;37.87396
Génave;-2.732766;38.43014
Guardia de Jaén (La);-3.692717;37.74164
Guarromán;-3.686501;38.18151
Higuera de Calatrava;-4.154945;37.7969
Hinojares;-2.999204;37.71555
Hornos;-2.720247;38.21679
Huelma;-3.455428;37.64524
Huesa;-3.078167;37.76411
Ibros;-3.502375;38.02261
Iruela (La);-2.993985;37.92038
Iznatoraf;-3.032914;38.15744
Jabalquinto;-3.724704;38.01932
Jaén;-3.789518;37.76574
Jamilena;-3.912299;37.74709
Jimena;-3.476529;37.84158
Jódar;-3.352545;37.84398
Lahiguera;-3.989164;37.97049
Larva;-3.20015;37.75892
Linares;-3.635844;38.09362
Lopera;-4.214694;37.94367
Lupión;-3.546936;37.99656
Mancha Real;-3.612393;37.78617
Marmolejo;-4.170608;38.04433
Martos;-3.966259;37.72278
Mengíbar;-3.808806;37.96833
Montizón;-3.103404;38.34243
Navas de San Juan;-3.315369;38.18464
Noalejo;-3.653675;37.52939
Orcera;-2.664912;38.31738
Peal de Becerro;-3.121655;37.91332
Pegalajar;-3.651098;37.73797
Porcuna;-4.184721;37.87086
Pozo Alcón;-2.93436;37.70512
Puente de Génave;-2.804408;38.35323
Puerta de Segura (La);-2.737147;38.34861
Quesada;-3.067591;37.8451
Rus;-3.462054;38.04807
Sabiote;-3.306595;38.06915
Santa Elena;-3.539236;38.33911
Santiago-Pontones;-2.55;38.1
Santiago de Calatrava;-4.169107;37.75299
Santisteban del Puerto;-3.206428;38.24746
Santo Tomé;-3.101844;38.02818
Segura de la Sierra;-2.651513;38.29776
Siles;-2.58131;38.38734
Sorihuela del Guadalimar;-3.054152;38.23954
Torre del Campo;-3.895521;37.77657
Torreblascopedro;-3.638916;37.99618
Torredonjimeno;-3.959263;37.76543
Torreperogil;-3.287597;38.0345
Torres;-3.510031;37.78608
Torres de Albánchez;-2.677051;38.41451
Úbeda;-3.368519;38.00809
Valdepeñas de Jaén;-3.819645;37.59034
Vilches;-3.507662;38.20467
Villacarrillo;-3.087194;38.11541
Villanueva de la Reina;-3.919512;38.00499
Villanueva del Arzobispo;-3.010099;38.16934
Villardompardo;-4.001286;37.83969
Villares (Los);-3.81857;37.68932
Villarrodrigo;-2.636272;38.48793
Villatorres;-3.692753;37.9313
Alameda;-4.658073;37.20783
Alcaucín;-4.114147;36.90263
Alfarnate;-4.260656;36.99511
Alfarnatejo;-4.272528;36.97935
Algarrobo;-4.039314;36.77216
Algatocín;-5.276559;36.57289
Alhaurín de la Torre;-4.552967;36.66836
Alhaurín el Grande;-4.691447;36.64186
Almáchar;-4.217409;36.80859
Almargen;-5.021193;37.00392
Almogía;-4.540719;36.82528
Álora;-4.706715;36.82264
Alozaina;-4.85646;36.72768
Alpandeire;-5.202244;36.63317
Antequera;-4.562885;37.01938
Árchez;-3.990186;36.83739
Archidona;-4.387545;37.09481
Ardales;-4.846642;36.87798
Arenas;-4.043716;36.81469
Arriate;-5.140064;36.79936
Atajate;-5.245177;36.63999
Benadalid;-5.268939;36.60577
Benahavís;-5.046305;36.52446
Benalauría;-5.261163;36.59402
Benalmádena;-4.573368;36.59523
Benamargosa;-4.19239;36.83208
Benamocarra;-4.159968;36.7912
Benaoján;-5.25315;36.71874
Benarrabá;-5.276832;36.55169
Borge (El);-4.23489;36.81446
Burgo (El);-4.946407;36.78993
Campillos;-4.861525;37.04541
Cañete la Real;-5.024308;36.95146
Canillas de Aceituno;-4.082042;36.87345
Canillas de Albaida;-3.987585;36.84607
Carratraca;-4.818239;36.85158
Cartajima;-5.153931;36.6454
Cártama;-4.630741;36.71131
Casabermeja;-4.428977;36.89404
Casarabonela;-4.842167;36.78524
Casares;-5.273519;36.44333
Coín;-4.760344;36.65871
Colmenar;-4.335212;36.90502
Comares;-4.247061;36.84872
Cómpeta;-3.974872;36.833
Cortes de la Frontera;-5.342681;36.61691
Cuevas Bajas;-4.489641;37.23587
Cuevas de San Marcos;-4.414079;37.26963
Cuevas del Becerro;-5.045729;36.87637
Cútar;-4.228007;36.83069
Estepona;-5.144903;36.42477
Faraján;-5.189152;36.6162
Frigiliana;-3.898076;36.79252
Fuengirola;-4.624353;36.53901
Fuente de Piedra;-4.729656;37.13463
Gaucín;-5.317524;36.5183
Genalguacil;-5.235879;36.54427
Guaro;-4.833355;36.65645
Humilladero;-4.703457;37.11469
Igualeja;-5.122461;36.63033
Istán;-4.949401;36.58216
Iznate;-4.18356;36.77612
Jimera de Líbar;-5.273455;36.65202
Jubrique;-5.215247;36.56432
Júzcar;-5.170815;36.62506
Macharaviaya;-4.213979;36.76239
Málaga;-4.420019;36.71965
Manilva;-5.249271;36.37706
Marbella;-4.886352;36.50994
Mijas;-4.637619;36.5957
Moclinejo;-4.254001;36.7712
Mollina;-4.657106;37.12564
Monda;-4.831124;36.63018
Montejaque;-5.251382;36.73365
Nerja;-3.876649;36.74503
Ojén;-4.856492;36.56424
Parauta;-5.129627;36.65533
Periana;-4.187304;36.92694
Pizarra;-4.707456;36.76717
Pujerra;-5.149421;36.6127
Rincón de la Victoria;-4.275504;36.71566
Riogordo;-4.293622;36.91491
Ronda;-5.166412;36.74196
Salares;-4.024393;36.85496
Sayalonga;-4.011899;36.79799
Sedella;-4.03307;36.86289
Sierra de Yeguas;-4.868739;37.12461
Teba;-4.920274;36.98348
Tolox;-4.904676;36.68674
Torremolinos;-4.500273;36.62179
Torrox;-3.952617;36.75845
Totalán;-4.297044;36.76529
Valle de Abdalajís;-4.682709;36.93133
Vélez-Málaga;-4.100675;36.77864
Villanueva de Algaidas;-4.450837;37.18628
Villanueva de Tapia;-4.335978;37.18035
Villanueva del Rosario;-4.364309;36.99622
Villanueva del Trabuco;-4.338388;37.02825
Viñuela;-4.141331;36.8628
Yunquera;-4.920869;36.73168
Aguadulce;-4.991125;37.25283
Alanís;-5.715293;38.03748
Albaida del Aljarafe;-6.165926;37.42702
Alcalá de Guadaíra;-5.844032;37.33833
Alcalá del Río;-5.978236;37.51827
Alcolea del Río;-5.671293;37.61416
Algaba (La);-6.013736;37.46177
Algámitas;-5.149775;37.01501
Almadén de la Plata;-6.079766;37.87345
Almensilla;-6.113987;37.30904
Arahal;-5.542829;37.2641
Aznalcázar;-6.248415;37.30518
Aznalcóllar;-6.269565;37.52354
Badolatosa;-4.672858;37.30871
Benacazón;-6.199005;37.35343
Bollullos de la Mitación;-6.138757;37.34011
Bormujos;-6.070961;37.37101
Brenes;-5.873065;37.55057
Burguillos;-5.967274;37.58725
Cabezas de San Juan (Las);-5.940864;36.98133
Camas;-6.032911;37.40087
Campana (La);-5.425768;37.56945
Cañada Rosal;-5.210358;37.59894
Cantillana;-5.825826;37.60867
Carmona;-5.642328;37.47102
Carrión de los Céspedes;-6.328958;37.36847
Casariche;-4.759532;37.29389
Castilblanco de los Arroyos;-5.9893;37.67459
Castilleja de Guzmán;-6.057408;37.40865
Castilleja de la Cuesta;-6.051838;37.38644
Castilleja del Campo;-6.33445;37.38591
Castillo de las Guardas (El);-6.314299;37.6916
Cazalla de la Sierra;-5.760799;37.9296
Constantina;-5.619115;37.87227
Coria del Río;-6.051814;37.28506
Coripe;-5.441308;36.97023
Coronil (El);-5.633467;37.08228
Corrales (Los);-4.98291;37.09732
Cuervo de Sevilla (El);-6.041625;36.85136
Dos Hermanas;-5.922242;37.28318
Écija;-5.079953;37.54093
Espartinas;-6.123577;37.37997
Estepa;-4.878506;37.29147
Fuentes de Andalucía;-5.348385;37.46221
Garrobo (El);-6.172421;37.62539
Gelves;-6.025333;37.33677
Gerena;-6.157654;37.52553
Gilena;-4.913494;37.25134
Gines;-6.078264;37.38713
Guadalcanal;-5.821165;38.09198
Guillena;-6.052268;37.53902
Herrera;-4.850014;37.36176
Huévar del Aljarafe;-6.27659;37.35599
Isla Mayor;-6.162807;37.13356
Lantejuela (La);-5.222986;37.35353
Lebrija;-6.078367;36.91951
Lora de Estepa;-4.827815;37.26869
Lora del Río;-5.526284;37.65923
Luisiana (La);-5.248721;37.52613
Madroño (El);-6.511699;37.64548
Mairena del Alcor;-5.747595;37.37316
Mairena del Aljarafe;-6.065354;37.34449
Marchena;-5.416465;37.32972
Marinaleda;-4.953792;37.37473
Martín de la Jara;-4.962173;37.10655
Molares (Los);-5.719529;37.15531
Montellano;-5.570882;36.99564
Morón de la Frontera;-5.451869;37.1223
Navas de la Concepción (Las);-5.464808;37.93347
Olivares;-6.155926;37.41868
Osuna;-5.102748;37.23697
Palacios y Villafranca (Los);-5.924166;37.15859
Palomares del Río;-6.057716;37.32256
Paradas;-5.497219;37.28981
Pedrera;-4.896754;37.22301
Pedroso (El);-5.763515;37.84222
Peñaflor;-5.346412;37.70726
Pilas;-6.302449;37.30167
Pruna;-5.222943;36.97364
Puebla de Cazalla (La);-5.31227;37.22441
Puebla de los Infantes (La);-5.388995;37.77852
Puebla del Río (La);-6.062557;37.26748
Real de la Jara (El);-6.1559;37.95061
Rinconada (La);-5.979309;37.4878
Roda de Andalucía (La);-4.779276;37.20099
Ronquillo (El);-6.176963;37.72555
Rubio (El);-4.988925;37.3557
Salteras;-6.111633;37.41824
San Juan de Aznalfarache;-6.035451;37.35838
San Nicolás del Puerto;-5.653036;37.99353
Sanlúcar la Mayor;-6.201977;37.38578
Santiponce;-6.038414;37.43869
Saucejo (El);-5.096187;37.07005
Sevilla;-5.996295;37.38264
Tocina;-5.733069;37.60978
Tomares;-6.045198;37.37404
Umbrete;-6.157722;37.36993
Utrera;-5.781507;37.18142
Valencina de la Concepción;-6.076959;37.41601
Villamanrique de la Condesa;-6.306533;37.2463
Villanueva de San Juan;-5.175473;37.05036
Villanueva del Ariscal;-6.141313;37.39572
